"gene","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"Rell1",0.183783331346391,0.815302450799772,0.25,0.08,1,0.0649942910145003,0.305059068586976,0.5,0.144,1,0.183783331346391,0.125764324164523
"Hnrnpa0",0.503527238155626,0.643620886591844,0.25,0.153,1,0.0650932827512951,0.474774670949115,0.75,0.303,1,0.503527238155626,0.12594943004325
"Mrpl9",0.0662366333727121,-1.11212783647084,0.25,0.66,1,0.682913011457818,-0.382157910355766,0.75,0.531,1,0.682913011457818,0.128085975144873
"Rps3",0.722156222492364,0.362898972593999,0.5,0.428,1,0.0669774799632445,0.42955137684528,1,0.49,1,0.722156222492364,0.129468977104262
"Bag1",0.0675856356500019,0.958826620351717,0.25,0.053,1,0.224939616742297,0.275483168820151,0.25,0.085,1,0.224939616742297,0.130603453153789
"Gm6977",0.0677387018840875,-1.27537384922512,0,0.492,1,0.968233817437136,-0.329799055804441,1,0.722,1,0.968233817437136,0.130888872035234
"Clec7a",0.314757779064357,-1.20467819243032,0,0.205,1,0.0684092575855569,-1.69507335782009,0,0.49,1,0.314757779064357,0.132138688647707
"Tpt1",0.223976084463011,0.379109324611222,1,0.715,1,0.0684552911691094,0.443560024631151,1,0.912,1,0.223976084463011,0.132224455449171
"H2-T23",0.0692850865945932,0.499527984689558,0.75,0.324,1,0.151410601066783,0.312261352622086,0.75,0.32,1,0.151410601066783,0.133769749964766
"Ppp2ca",0.295369730574006,1.00983225093214,0.25,0.107,1,0.069341524224575,0.455133730093318,0.75,0.293,1,0.295369730574006,0.133874801467363
"Arpc2",0.0696476235945739,-1.90818143543152,0,0.488,1,0.171122090542443,-0.876870195282811,1,0.789,1,0.171122090542443,0.134444455716776
"Samhd1",0.119030562180066,-1.419781675592,0.25,0.585,1,0.0697166101350829,-1.22471880626788,0.25,0.685,1,0.119030562180066,0.134572814541439
"Rpl39",0.0698738001834587,0.72735338420805,0.75,0.303,1,0.137384952887299,0.632115856050092,0.75,0.379,1,0.137384952887299,0.13486525241484
"Ost4",0.326537251596977,-0.944565010852672,0,0.197,1,0.0704090144254569,0.257209942619595,0.75,0.266,1,0.326537251596977,0.13586059953855
"Eif3k",0.504439108442833,-0.348202202295871,0,0.101,1,0.0707506572837145,0.420213326484337,0.5,0.16,1,0.504439108442833,0.136495659061351
"Arhgdib",0.854137505441249,-0.331533965299533,0.5,0.425,1,0.0708311053471262,-1.23894678976158,0.25,0.635,1,0.854137505441249,0.136645165209557
"Atxn7l1",0.495848179838505,-0.291133847866255,0,0.105,1,0.071643845623786,0.641140412585114,0.5,0.162,1,0.495848179838505,0.138154850631807
"Taok2",0.0718419829879353,2.33764790146158,0.25,0.056,1,0.152325731179602,0.423193838776572,0.25,0.072,1,0.152325731179602,0.138522695456232
"Nr4a1",0.138673239907619,-1.96587131285853,0,0.371,1,0.0732495216459396,-1.65057280907312,0,0.48,1,0.138673239907619,0.14113355087052
"Rps29",0.082752216119597,0.799559422254006,1,0.635,1,0.0732657279543452,0.478092275618659,1,0.647,1,0.082752216119597,0.14116358901601
"Ifitm2",0.139139524375046,-1.23376951338735,0,0.37,1,0.0735184486897757,-1.42656814662861,0,0.479,1,0.139139524375046,0.1416319350818
"Tmem234",0.0741926834931591,0.268224239332018,0.5,0.162,1,0.334965282663223,-0.470496338754919,0,0.191,1,0.334965282663223,0.142880812702402
"Hp",0.374776804059427,-1.17481288496695,0.25,0.406,1,0.0754222173182772,-1.38677636924576,0,0.475,1,0.374776804059427,0.145155923771349
"Rpl39-ps",0.0756644581436736,0.699882244230414,0.75,0.309,1,0.121418224699231,0.667582903875197,0.75,0.368,1,0.121418224699231,0.145603806061172
"Tnfaip2",0.121814770558108,-1.50204019924708,0,0.394,1,0.0773635594070802,-1.33323138788809,0,0.471,1,0.121814770558108,0.148741998490028
"Myo1f",0.203146295347158,-1.04724142325162,0,0.297,1,0.0789155674859063,-1.4092383944567,0,0.468,1,0.203146295347158,0.15160346818019
"Tpm4",0.974436154796114,-0.639663652516841,0.25,0.215,1,0.0793429494754343,-1.49197552276846,0,0.467,1,0.974436154796114,0.152390595319407
"Armt1",0.0807425553334027,-0.978990008810805,0,0.464,1,0.303551072581134,-0.67990127447305,0.5,0.532,1,0.303551072581134,0.154965750425038
"Slc16a3",0.121393233309413,-1.14681933287497,0,0.395,1,0.0813608643306649,-1.23094290858166,0,0.463,1,0.121393233309413,0.156102138416697
"Osm",0.151188739765404,-2.25131408881823,0,0.355,1,0.0823844193031575,-2.04685347066923,0,0.461,1,0.151188739765404,0.157981646062397
"Ets2",0.245551835267965,-0.902313875763791,0,0.258,1,0.0832695582307609,-1.24157604381702,0,0.459,1,0.245551835267965,0.159605297133576
"Fosl2",0.272792059811929,-1.14050532902634,0,0.236,1,0.0832695583376127,-1.4142332866245,0,0.459,1,0.272792059811929,0.159605297329484
"Capzb",0.083915680638831,1.28060381220278,0.75,0.414,1,0.570813569361862,-0.752659952285719,0.75,0.602,1,0.570813569361862,0.160789519820584
"Mmp8",0.234872295646959,-1.72909271716246,0,0.267,1,0.0846108667266121,-2.05590345116971,0,0.456,1,0.234872295646959,0.162062734684996
"Thbs1",0.271216547208969,-1.6723715760662,0,0.237,1,0.0847609131798985,-3.11184979525095,0,0.456,1,0.271216547208969,0.162337413956707
"Ctsd",0.0864474525651947,-1.29402717482389,0,0.453,1,0.468763998000779,-0.876461006119448,0.75,0.547,1,0.468763998000779,0.165421743075378
"Tyrobp",0.0866103995708433,0.770487646695715,1,0.704,1,0.526953288419928,-0.507422600865632,1,0.765,1,0.526953288419928,0.165719437827865
"Gm5177",0.0866415112574677,0.422746010541727,0.25,0.058,1,0.388417371034604,-0.304119236318339,0,0.158,1,0.388417371034604,0.165776271041958
"Gm12253",0.299059404027266,-0.41412358732977,0,0.216,1,0.086701687233451,0.512901509459928,0.5,0.199,1,0.299059404027266,0.165886191897775
"Rgs2",0.0870998224068376,-2.29322148264032,0,0.452,1,0.280260394549582,-1.09716444797529,0.5,0.626,1,0.280260394549582,0.166613265750373
"Rassf3",0.316545350507867,-0.97253096024652,0,0.204,1,0.0873429137907367,-1.24471816183103,0,0.451,1,0.316545350507867,0.167057042992017
"Mpv17",0.0874274102458499,-0.91425637221441,0,0.451,1,0.233236520764484,-0.704503988371334,0.25,0.456,1,0.233236520764484,0.167211268429404
"Cd9",0.256618752441446,-1.47425305807775,0,0.249,1,0.087804718869048,-1.41363373098618,0,0.45,1,0.256618752441446,0.167899769082423
"Itgam",0.980067116489289,-0.468015228581021,0.25,0.223,1,0.090141735126916,-1.12131824309667,0,0.446,1,0.980067116489289,0.172157937842141
"Evi2b",0.2881429247332,-1.42799531717154,0,0.224,1,0.0901417352682129,-1.4391929099955,0,0.446,1,0.2881429247332,0.172157938099261
"Pglyrp1",0.0987751684383722,-1.39020660531908,0,0.431,1,0.0912484237471945,-1.13263441854908,0,0.444,1,0.0987751684383722,0.174170572658042
"Vasp",0.573564345511148,-0.674370102041088,0.25,0.335,1,0.0917258737214026,-0.992975663537151,0,0.443,1,0.573564345511148,0.175038111532851
"Lst1",0.129152183794421,-1.49222124965095,0,0.384,1,0.0918854459247322,-1.27570007468971,0,0.443,1,0.129152183794421,0.175327956676678
"Limd2",0.13820814234788,-1.17125035040177,0,0.372,1,0.0925258492249386,-1.03079723220978,0,0.442,1,0.13820814234788,0.176490665675081
"Mpv17l",0.0927088594853183,0.513621288402649,0.75,0.37,1,0.826656833452187,-0.26798465945942,0.25,0.243,1,0.826656833452187,0.176822786343568
"Rps25",0.0936966957703307,0.362292371236676,0.75,0.312,1,0.15002234794462,0.283564601217864,0.75,0.326,1,0.15002234794462,0.178614320742383
"Gm9835",0.341571920186619,-0.475907521420115,0,0.187,1,0.094467462254308,-1.03266079699532,0,0.438,1,0.341571920186619,0.180010823083847
"Trem1",0.260396363623468,-1.26883934185315,0,0.246,1,0.0946306516767669,-1.46830512011051,0,0.438,1,0.260396363623468,0.180306343116764
"Runx1",0.0949576245334062,0.982599478152937,0.25,0.06,1,0.495352437255613,-0.254681170366543,0,0.105,1,0.495352437255613,0.180898298609785
"Eef1a1",0.114905473536365,0.364483782985251,1,0.599,1,0.0951095946506173,0.50069885538773,1,0.685,1,0.114905473536365,0.18117335430663
"Sparc",0.327139482170762,-0.570466532376858,0.25,0.513,1,0.0953543058263818,-1.02571064279221,0.25,0.579,1,0.327139482170762,0.181616168013132
"Adam8",0.196981431497924,-1.0528539475755,0,0.303,1,0.0969378965038611,-1.18456803803605,0,0.434,1,0.196981431497924,0.184478837229129
"Pim1",0.0971983087550634,-2.51508120193927,0.25,0.587,1,0.211909970166506,-1.45660925993189,0.75,0.73,1,0.211909970166506,0.184949106285282
"Fcgr3",0.204397066209309,-1.06743077578658,0,0.296,1,0.0992876714128833,-1.01730298783867,0,0.43,1,0.204397066209309,0.188717301131174
"Il1r2",0.218556651833729,-1.03265054703257,0,0.282,1,0.100820936018581,-1.44188232131356,0,0.427,1,0.218556651833729,0.191477010897499
"Pgd",0.171005589589102,-1.00160036494329,0,0.331,1,0.102198878627096,-1.00266065666043,0,0.425,1,0.171005589589102,0.193953146461556
"Dnajc5",0.505889296364384,-0.397225573170629,0,0.1,1,0.102761042703828,0.264757295370847,0.5,0.164,1,0.505889296364384,0.194962253510079
"Trim25",0.461925577675111,-0.48158302225791,0,0.12,1,0.102947337647482,0.283154839590992,0.5,0.168,1,0.461925577675111,0.195296520966259
"Hspe1",0.104377415501426,1.20991297212508,0.25,0.064,1,0.427277347323388,-0.326567316581243,0,0.137,1,0.427277347323388,0.197860186136095
"Letm1",0.104664175485586,-1.23854689556886,0,0.421,1,0.137160096307062,-1.02452466581494,0,0.373,1,0.137160096307062,0.198373761341094
"Adipor1",0.587933614111497,-0.97205706600583,0.25,0.324,1,0.106193544037375,-1.28373970198549,0.25,0.563,1,0.587933614111497,0.201110019279533
"Arl8a",0.106430902094569,0.921919172232883,0.25,0.062,1,0.377075821982069,0.381285556789305,0.25,0.123,1,0.377075821982069,0.201534267268475
"Rer1",0.108545545175784,0.850241086859831,0.25,0.063,1,0.481675203185505,-0.286533896678871,0,0.111,1,0.481675203185505,0.205308954974059
"Mrps18c",0.109642190699541,-0.881845772652202,0,0.413,1,0.950501888960134,-0.331491854641092,0.5,0.351,1,0.950501888960134,0.207262971417687
"Tceb2",0.373560595919042,-0.379327098377075,0,0.167,1,0.110430854457612,0.25018096517143,0.5,0.163,1,0.373560595919042,0.208666735298987
"Nedd9",0.111688198579431,0.251609086258661,0.25,0.059,1,0.360528100488527,-0.427503597712172,0,0.175,1,0.360528100488527,0.210902143456944
"Cdk2ap2",0.943749945900627,-0.675430436917451,0.5,0.404,1,0.112204630958588,-1.81714396566461,0.25,0.552,1,0.943749945900627,0.211819382708624
"Chic2",0.393881739968056,-0.502851850248147,0,0.155,1,0.11359991967846,1.28255769761467,0.5,0.203,1,0.393881739968056,0.214294897605968
"Gm7609",0.113974933511911,-1.14795777761577,0.25,0.589,1,0.236485007984082,-0.924964239477529,0.5,0.558,1,0.236485007984082,0.214959581554777
"Myh9",0.188595367712455,-0.78569872352917,0,0.312,1,0.114308235043334,-0.869985435935709,0,0.405,1,0.188595367712455,0.215550097487946
"Tnfrsf1a",0.247004728106012,-1.15774955184371,0,0.257,1,0.114874752697493,-1.04409953184187,0,0.404,1,0.247004728106012,0.216553296587676
"Rabac1",0.217896814791467,-1.11590972722425,0,0.283,1,0.114874752731046,-1.10413975091619,0,0.404,1,0.217896814791467,0.216553296647073
"Pygl",0.271216547208969,-0.986474547865615,0,0.237,1,0.114874752731046,-1.04435796818338,0,0.404,1,0.271216547208969,0.216553296647073
"AB124611",0.872047506794334,0.543029600339786,0.25,0.254,1,0.115633417360438,-1.27084127169538,0,0.403,1,0.872047506794334,0.217895747510423
"Akt1",0.72224354851958,0.483978528377144,0.25,0.207,1,0.115685576211744,0.451758615842294,0.75,0.317,1,0.72224354851958,0.217987999880045
"Il16",0.391692608055279,-0.506692798403882,0,0.157,1,0.117866812900124,0.300401073570977,0.5,0.175,1,0.391692608055279,0.221841040217015
"Nkain3",0.117899771041137,0.73445088082694,0.75,0.646,1,0.315276228214358,-0.662929397135376,0.75,0.626,1,0.315276228214358,0.221899186070722
"Fam168b",0.211528431985139,0.537795821170292,0.25,0.082,1,0.117923863139707,0.256025639773183,0.5,0.167,1,0.211528431985139,0.221941688781622
"Cd300lf",0.744018364125498,-0.395567395730278,0.25,0.318,1,0.11793221732156,-0.923605714872424,0,0.4,1,0.744018364125498,0.221956426760741
"Ncf2",0.231396110345535,-0.715019463074195,0,0.271,1,0.118125335491553,-0.839801033911264,0,0.4,1,0.231396110345535,0.222297076098114
"Crk",0.23949398889806,-0.781907609189528,0.25,0.56,1,0.11837907394178,-0.95646857735607,0.25,0.624,1,0.23949398889806,0.222744542736246
"Snx18",0.195118396101326,1.28361301003365,0.25,0.084,1,0.120609726294131,0.448442819553824,0.5,0.2,1,0.195118396101326,0.226672746511517
"Cd300ld",0.195766084782028,-0.859804429560468,0,0.305,1,0.120657750384662,-0.929555379347941,0,0.396,1,0.195766084782028,0.226757208041435
"Cox8a",0.762474914589277,-0.612662083907284,0.5,0.336,1,0.122310071743527,0.623500923037001,1,0.439,1,0.762474914589277,0.229660389837147
"Gatad2a",0.122743502789724,0.484755835028448,0.25,0.064,1,0.482957736251652,-0.362597161119483,0,0.11,1,0.482957736251652,0.230421038102357
"Spi1",0.123512028034791,-1.23743871453618,0,0.392,1,0.47965104551928,-0.607797395170271,0.5,0.489,1,0.47965104551928,0.231768835000314
"Ski",0.124270619394111,0.297353183980066,0.25,0.063,1,0.497345358863879,-0.262216748911082,0,0.104,1,0.497345358863879,0.233098051943626
"Capza1",0.401640379553249,-0.612945368397808,0,0.151,1,0.124633869720796,-0.830612205723946,0,0.39,1,0.401640379553249,0.233734137960011
"Clec4e",0.342531980434466,-1.14012253294678,0,0.186,1,0.124835248920153,-1.52375746599153,0,0.39,1,0.342531980434466,0.234086658467349
"Ehbp1l1",0.356234847999658,-0.567744015118715,0,0.178,1,0.126242659089183,0.254089054466224,0.5,0.177,1,0.356234847999658,0.236548109204458
"C730034F03Rik",0.478557193252171,-0.412371159725348,0.25,0.451,1,0.126599546735721,0.376049084739966,0.75,0.329,1,0.478557193252171,0.237171648237753
"Lbr",0.459332077921561,-0.681280445050003,0,0.121,1,0.127066730553342,-1.08523567128493,0,0.386,1,0.459332077921561,0.237987507093168
"Gm20594",0.127604701232914,0.659129751555138,0.5,0.221,1,0.248304468672471,0.596721994341826,0.5,0.275,1,0.248304468672471,0.238926442689086
"Ccr1",0.270431615157723,-1.2368670810003,0,0.238,1,0.128023540617746,-1.4685323305298,0.25,0.536,1,0.270431615157723,0.239657054283189
"Picalm",0.484675903068249,-0.526058256097378,0,0.11,1,0.128296574179354,-1.03525868674854,0,0.385,1,0.484675903068249,0.24013313741255
"Snap23",0.498691122827786,-0.596896780746053,0,0.103,1,0.128914868745903,-1.2792685461534,0,0.384,1,0.498691122827786,0.241210694108032
"Gm16181",0.345426918281884,-0.360009988242957,0,0.185,1,0.128925875071769,0.403753570493126,0.5,0.202,1,0.345426918281884,0.241229868880516
"Gpsm3",0.206916604711282,-0.838555998885842,0,0.293,1,0.129742772047699,-0.840685413435452,0,0.383,1,0.206916604711282,0.242652357196777
"Hmha1",0.21988104209229,-0.825860558243168,0,0.281,1,0.129742772267148,-0.817849026949764,0,0.383,1,0.21988104209229,0.242652357578731
"Arpc1b",0.130402534141298,-1.14164618934994,0.25,0.608,1,0.228701440222089,-0.765815898747321,1,0.728,1,0.228701440222089,0.243800247372123
"Efhd2",0.296509548082069,-0.985576072814715,0,0.218,1,0.130574700329428,-0.98218709888074,0,0.382,1,0.296509548082069,0.244099648292736
"Tgfbi",0.256618751272437,-1.18594865809607,0,0.249,1,0.131201295385956,-1.01764977878471,0,0.381,1,0.256618751272437,0.245188810860959
"Fam21",0.131588635062124,0.758698152325297,0.25,0.069,1,0.377909238278435,-0.421561675091062,0,0.164,1,0.377909238278435,0.245861701246735
"Sptan1",0.132269817890115,2.48236206832868,0.25,0.072,1,0.482315954239848,-0.327071934923725,0,0.11,1,0.482315954239848,0.247044331055546
"Arrdc3",0.464535949785926,-0.632297908573336,0,0.119,1,0.132883364305076,-1.05722508169939,0,0.378,1,0.464535949785926,0.248108740101117
"Cd300lb",0.328383610681925,-1.37826605035944,0,0.196,1,0.133942928526235,-1.38479873871827,0,0.377,1,0.328383610681925,0.249945148950286
"Degs1",0.134105816036971,1.70608067325973,0.25,0.072,1,0.404459038111725,-0.326407925494374,0,0.149,1,0.404459038111725,0.250227262179
"G0s2",0.169915692642976,-1.51675191706658,0,0.333,1,0.134155607995903,-1.48873376365749,0,0.377,1,0.169915692642976,0.250313488835056
"Rpl23a-ps3",0.134648762781865,0.741371975933596,0.5,0.25,1,0.393166023423936,0.275875167268732,0.25,0.124,1,0.393166023423936,0.251167236245043
"AK010878",0.230017145601758,-0.653504804235379,0,0.272,1,0.136019348521212,0.305045307997072,0.75,0.311,1,0.230017145601758,0.253537433870289
"Btg1",0.197023171047528,-1.03142117885897,0.5,0.752,1,0.13655399335745,-0.786894936427594,1,0.952,1,0.197023171047528,0.254460993613033
"Uba1",0.137131925430224,-1.02881481490938,0.5,0.744,1,0.663136580238759,-0.486788867684727,1,0.651,1,0.663136580238759,0.255458685888248
"Tmem134",0.433065798337302,-0.770592859875963,0,0.134,1,0.140622026963234,0.332604293980225,0.5,0.187,1,0.433065798337302,0.26146949945922
"Nfkbia",0.189954258911282,-1.6249551486543,0.25,0.518,1,0.140684295757241,-1.69392473794428,0.5,0.612,1,0.189954258911282,0.261576520441772
"Eif4b",0.21509235647456,1.62610821318183,0.25,0.09,1,0.141460164888734,0.393367652698812,0.5,0.194,1,0.21509235647456,0.26290935152712
"Alg6",0.141962274323271,-0.761768483042532,0,0.367,1,0.679906599571645,-0.346775163964034,0.25,0.279,1,0.679906599571645,0.263771261315505
"Nudt4",0.365310504423285,-0.628293229324425,0,0.172,1,0.142875018634436,-0.96576309636514,0,0.365,1,0.365310504423285,0.265336766319081
"Ddx58",0.143868120612103,-0.887874333553463,0,0.364,1,0.56921335454357,-0.55083306723202,0.25,0.311,1,0.56921335454357,0.267038205095748
"Cyp4f18",0.143868122903902,-1.44030496075667,0,0.364,1,0.23695646943829,-0.966564334555748,0.25,0.471,1,0.23695646943829,0.267038209019912
"Plbd1",0.276764035740485,-0.714138490391498,0,0.233,1,0.145346529309672,-0.885495634848409,0,0.362,1,0.276764035740485,0.269567445036978
"Sirpb1c",0.310327288147367,-0.792830114203706,0,0.208,1,0.145799360507799,-0.874818312730811,0,0.361,1,0.310327288147367,0.270341267491115
"Mcemp1",0.268088052145494,-1.02751214333422,0,0.24,1,0.146026177992797,-0.990708818947546,0,0.361,1,0.268088052145494,0.27072871132641
"Cd37",0.146352534428418,0.639648391344987,0.5,0.225,1,0.629540433692214,-0.610514141431772,0.25,0.293,1,0.629540433692214,0.271286004523215
"Rplp2",0.830508953923018,-0.621414592020018,0.75,0.624,1,0.146537644769436,0.258372694937568,1,0.651,1,0.830508953923018,0.271602008204298
"Cdc27",0.148227321228639,-0.903110584542195,0,0.359,1,0.275311286802209,-0.534511325687982,0,0.234,1,0.275311286802209,0.274483303698659
"Cd84",0.374604271255436,-0.73833869441256,0,0.167,1,0.148309125379331,-0.99489839415553,0,0.358,1,0.374604271255436,0.27462265408788
"Msl1",0.148638016354557,0.921670828371246,0.5,0.219,1,0.411864372134849,-0.82531266053636,0.25,0.366,1,0.411864372134849,0.275182772803297
"Amfr",0.236114954547318,1.06298820210122,0.25,0.092,1,0.149889365197203,0.478061188436863,0.5,0.208,1,0.236114954547318,0.277311908595185
"Hmgb2",0.150196647095579,-1.25129695857534,0,0.356,1,0.738302742981055,-0.452285382398921,0.75,0.563,1,0.738302742981055,0.277834261392404
"Slfn1",0.267310593622931,-1.14927597697498,0,0.24,1,0.151317395933522,-1.21408644745818,0,0.354,1,0.267310593622931,0.279737837554942
"Rhog",0.151686651291078,-1.29718774730747,0,0.354,1,0.951309178068023,-0.505202091273588,0.75,0.493,1,0.951309178068023,0.280364462402255
"Nadk",0.312092932796057,-0.638290392280779,0,0.207,1,0.151784293083682,-0.774702549583828,0,0.354,1,0.312092932796057,0.280530114540451
"Neurl3",0.259637238493514,-0.982503260646051,0,0.246,1,0.152252285594222,-0.954828787970801,0,0.353,1,0.259637238493514,0.281323812719779
"Ypel3",0.152686216550348,-1.31241827016767,0,0.353,1,0.156315219246344,-1.21693217613836,0.25,0.514,1,0.156315219246344,0.282059352376237
"Rpl18-ps1",0.957893893069569,-0.355073269521269,0.5,0.52,1,0.152897006205969,0.295233038948986,1,0.598,1,0.957893893069569,0.28241651790519
"Luc7l",0.456755226003304,-0.331958602841498,0,0.123,1,0.153210102078381,0.493211666892382,0.25,0.075,1,0.456755226003304,0.282946868777893
"Cnbp",0.486055385867044,-0.487679065011251,0,0.109,1,0.153583650256122,0.35618334022444,0.5,0.199,1,0.486055385867044,0.283579362886249
"Cnn2",0.153690786335213,-1.45192746855325,0,0.352,1,0.459548954204158,-0.775963399398249,0.5,0.488,1,0.459548954204158,0.283760714866089
"Coro1a",0.964880199843098,0.391260166238042,0.75,0.821,1,0.154671626914641,-0.733212429182483,1,0.833,1,0.964880199843098,0.285419941656861
"Iqgap1",0.565807309014517,-0.628773080289704,0.25,0.399,1,0.154769805468999,-0.929632157325492,0.25,0.634,1,0.565807309014517,0.285585918253085
"Gm9025",0.275169528615881,-0.813369761805553,0,0.234,1,0.155083341385046,-0.788887804621447,0,0.35,1,0.275169528615881,0.286115839994942
"Anxa1",0.339659123934139,-0.936824223256568,0,0.188,1,0.155321058129517,-1.01428619131541,0,0.349,1,0.339659123934139,0.286517485160561
"Rpl23a",0.155328401478814,0.718616222485553,0.5,0.264,1,0.397990303118267,0.275001508509881,0.25,0.125,1,0.397990303118267,0.286529890651665
"Egr1",0.156224229780698,-1.5974372897795,0,0.349,1,0.324090571772673,-1.05411034117861,0.25,0.482,1,0.324090571772673,0.288042449590824
"March7",0.45038451479114,-0.495264358980699,0,0.126,1,0.156513805632456,-0.920549790904895,0,0.348,1,0.45038451479114,0.288531039911358
"Zyx",0.400285993174494,-0.849233614148148,0.25,0.415,1,0.156913721945661,-1.14404589847846,0.25,0.51,1,0.400285993174494,0.289205527756483
"Fpr2",0.700185574452465,-0.530051941488948,0.25,0.157,1,0.157232795645322,-1.26173377383738,0,0.347,1,0.700185574452465,0.2897434392642
"Trib1",0.259637237313819,-1.07242278401996,0,0.246,1,0.159404868667048,-1.03092369110371,0,0.344,1,0.259637237313819,0.293399825179337
"Cmtm6",0.160305809783879,0.614918053259468,0.5,0.201,1,0.917324249293491,-0.332735558096089,0.5,0.428,1,0.917324249293491,0.294913666917293
"Trim43b",0.37804029001295,-0.496597690533389,0.25,0.496,1,0.160621414887218,-0.656050398179632,0,0.343,1,0.37804029001295,0.295443590854065
"Gm10116",0.833257803532902,-0.327586702848205,0.75,0.817,1,0.161014882076227,-0.949133401765994,0.75,0.869,1,0.833257803532902,0.296103971902432
"Pirb",0.165609133972379,-0.860156996694035,0,0.337,1,0.161599739336175,-0.705956238047073,0,0.342,1,0.165609133972379,0.297085002918831
"Add1",0.162142462333423,1.69243889422657,0.25,0.079,1,0.384883363545057,-0.425540147684201,0,0.16,1,0.384883363545057,0.297994746575301
"Pilra",0.302488351769803,-0.852095943308632,0,0.214,1,0.162582602296166,-0.918653503038464,0,0.341,1,0.302488351769803,0.298732102022938
"Wfdc21",0.264219263454649,-1.17032330654416,0,0.243,1,0.162829029569797,-1.17459118805719,0,0.34,1,0.264219263454649,0.299144766268953
"Myl12a",0.162960220138554,-1.08522714715779,0,0.341,1,0.718856560044822,-0.555335889301824,0.75,0.489,1,0.718856560044822,0.299364406929502
"Ptprc",0.163487397520405,-1.69093169346852,0,0.34,1,0.601755473874131,-0.430793777378138,0.75,0.812,1,0.601755473874131,0.300246665892814
"Nfatc1",0.164313360624289,0.449793343817723,0.25,0.072,1,0.401303176055426,-0.388166090214092,0,0.151,1,0.401303176055426,0.301627840768929
"Txnip",0.164416116335962,-1.34285524820319,0.25,0.599,1,0.50207520989729,-0.592978431947396,1,0.803,1,0.50207520989729,0.301799573360924
"Gmfg",0.195160595637911,-0.877509909013854,0,0.305,1,0.165133458905624,-1.02062734746282,0.25,0.503,1,0.195160595637911,0.302997858561112
"Mydgf",0.166142839419726,-0.794805816911639,0,0.337,1,0.775940934197201,-0.357680781550086,0.25,0.253,1,0.775940934197201,0.304682235749004
"Cd24a",0.406142879740762,-0.758166781538034,0,0.149,1,0.166559762758447,-0.95289348612235,0,0.336,1,0.406142879740762,0.305377370946743
"Eno1",0.167214193294378,-1.37706985627015,0,0.336,1,0.513439848267815,-0.621567849572551,0.5,0.517,1,0.513439848267815,0.306467800149666
"Ptpre",0.336808099394556,-0.72301621672998,0,0.19,1,0.167565560858714,-0.856357424957597,0,0.335,1,0.336808099394556,0.307052904531532
"Wdr34",0.168831114286713,-0.752152172675027,0,0.334,1,0.833208471456438,-0.295320066400041,0.25,0.24,1,0.833208471456438,0.309158283422133
"Cd300a",0.262684630693152,-1.01640766378982,0,0.244,1,0.169591080839232,-0.850266079850814,0,0.333,1,0.262684630693152,0.310421026978244
"Fam32a",0.353256692641819,-0.898669007968051,0,0.18,1,0.170100373388306,-0.83099794329424,0,0.332,1,0.353256692641819,0.31126660974977
"Gm4883",0.428251693955084,-0.312244966607866,0,0.137,1,0.171155068656774,0.301924770069401,0.25,0.073,1,0.428251693955084,0.313016079786642
"Rab7",0.30944772085348,-0.776636718875416,0,0.209,1,0.173095232838452,0.4102866504923,0.75,0.39,1,0.30944772085348,0.316228506045507
"Churc1",0.213970582533234,-0.700564752289921,0,0.287,1,0.173413077276426,0.260344073652989,0.75,0.327,1,0.213970582533234,0.316754059182373
"Map1lc3b",0.177096109769442,-1.36989532140589,0,0.324,1,0.951205957457866,-0.672586277086304,0.75,0.444,1,0.951205957457866,0.322829187443414
"Gm11444",0.452400913656426,-0.433363022952927,0.25,0.441,1,0.177617594257426,-0.648301482958293,0,0.324,1,0.452400913656426,0.323687178725057
"Eno1b",0.177657928375697,-1.24244389144198,0,0.324,1,0.497814670178644,-0.627687840323178,0.5,0.485,1,0.497814670178644,0.32375351723665
"Zfp36",0.197140065754017,-2.47603846695839,0.75,0.693,1,0.177853830174942,-1.47930541487005,1,0.815,1,0.197140065754017,0.324075675441987
"Snrk",0.938366502732151,-0.610385615115237,0.25,0.206,1,0.179204172681986,-0.867712075511229,0,0.322,1,0.938366502732151,0.326294209857336
"Emilin2",0.298207384671954,-0.859927427123944,0,0.217,1,0.18026792237621,-0.987972838080488,0,0.321,1,0.298207384671954,0.328039320914584
"Gsn",0.276764035740485,-0.9634018349036,0,0.233,1,0.180660094869357,0.406174838906594,0.75,0.37,1,0.276764035740485,0.328682119860509
"Sec11c",0.18142489114821,0.380606732029937,0.25,0.074,1,0.403681375446742,0.427617239557362,0.25,0.128,1,0.403681375446742,0.32993479116828
"Psma7",0.184450502816959,0.412269767607128,0.25,0.076,1,0.450878975803122,-0.252164291811346,0,0.125,1,0.450878975803122,0.33487901764449
"Rbms1",0.184507178121775,-1.30946581010255,0,0.316,1,0.34456394956746,-0.870286467195934,0.5,0.553,1,0.34456394956746,0.334971457465089
"Atp5h",0.427057137462447,-0.613806616359897,0,0.137,1,0.184552803817833,0.304340502630565,0.5,0.21,1,0.427057137462447,0.335045870238642
